"Lake","Date","Julian","Julian.Day","Host.Species","Total","Year","metsch.prev","micG.prev"
"Sullivan",2021-07-16,197,2021197,"dentifera",236,2021,0,0.01694915
"Sullivan",2021-07-30,211,2021211,"dentifera",291,2021,0,0.01718213
"Sullivan",2021-08-13,225,2021225,"dentifera",276,2021,0,0.0615942
"Sullivan",2021-08-27,239,2021239,"dentifera",280,2021,0,0.06785714
"Sullivan",2021-09-09,252,2021252,"dentifera",792,2021,0.003787879,0.0719697
"Sullivan",2021-09-23,266,2021266,"dentifera",214,2021,0.01401869,0.06074766
"Sullivan",2021-10-07,280,2021280,"dentifera",225,2021,0.09777778,0.01777778
"Sullivan",2021-10-21,294,2021294,"dentifera",204,2021,0.1764706,0.03431373
"Sullivan",2021-11-04,308,2021308,"dentifera",208,2021,0.2740385,0.009615385
"Walsh",2021-06-14,165,2021165,"dentifera",421,2021,0,0.3016627
"Walsh",2021-06-28,179,2021179,"dentifera",510,2021,0,0.001960784
"Walsh",2021-07-12,193,2021193,"dentifera",259,2021,0,0.01158301
"Walsh",2021-07-26,207,2021207,"dentifera",461,2021,0,0.05856833
"Walsh",2021-08-09,221,2021221,"dentifera",253,2021,0,0.1857708
"Walsh",2021-08-23,235,2021235,"dentifera",580,2021,0,0.3086207
"Walsh",2021-09-07,250,2021250,"dentifera",335,2021,0,0.3731343
"Walsh",2021-09-20,263,2021263,"dentifera",295,2021,0.01016949,0.3864407
"Walsh",2021-10-04,277,2021277,"dentifera",358,2021,0.03351955,0.07821229
"Walsh",2021-10-18,291,2021291,"dentifera",1026,2021,0.03508772,0.07894737
"Walsh",2021-11-01,305,2021305,"dentifera",224,2021,0.0625,0.008928571
"Walsh",2021-11-12,316,2021316,"dentifera",416,2021,0.002403846,0
"Sullivan",2022-06-09,160,2022160,"dentifera",208,2022,0,0
"Sullivan",2022-07-21,202,2022202,"dentifera",203,2022,0,0.02463054
"Sullivan",2022-08-04,216,2022216,"dentifera",252,2022,0,0.03968254
"Sullivan",2022-08-18,230,2022230,"dentifera",260,2022,0,0.06538462
"Sullivan",2022-08-30,242,2022242,"dentifera",236,2022,0,0
"Sullivan",2022-09-15,258,2022258,"dentifera",237,2022,0.05063291,0.02953586
"Sullivan",2022-09-29,272,2022272,"dentifera",235,2022,0.05957447,0.0212766
"Sullivan",2022-10-13,286,2022286,"dentifera",239,2022,0.1631799,0
"Sullivan",2022-10-27,300,2022300,"dentifera",214,2022,0.05607477,0
"Sullivan",2022-11-10,314,2022314,"dentifera",265,2022,0.06792453,0
"Walsh",2022-06-06,157,2022157,"dentifera",213,2022,0,0.04225352
"Walsh",2022-07-18,199,2022199,"dentifera",202,2022,0,0.01485149
"Walsh",2022-08-01,213,2022213,"dentifera",387,2022,0.005167959,0.04392765
"Walsh",2022-08-15,227,2022227,"dentifera",221,2022,0,0.09502262
"Walsh",2022-08-29,241,2022241,"dentifera",223,2022,0,0.1300448
"Walsh",2022-09-12,255,2022255,"dentifera",209,2022,0.03349282,0.2535885
"Walsh",2022-09-26,269,2022269,"dentifera",206,2022,0.01456311,0.1116505
"Walsh",2022-10-10,283,2022283,"dentifera",306,2022,0.0620915,0.01633987
"Walsh",2022-10-24,297,2022297,"dentifera",209,2022,0.07655502,0
"Walsh",2022-11-07,311,2022311,"dentifera",223,2022,0.07174888,0
